IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
[2606:4700:3052::e695:87a1],2053,TRUE,LAX,North America,Los Angeles,205 ms,13375 kB/s
[2a06:98c1:50::3be1:3244],8443,TRUE,LAX,North America,Los Angeles,190 ms,13375 kB/s
[2803:f800:50::c0:c6b0],2053,TRUE,LAX,North America,Los Angeles,193 ms,13372 kB/s
[2606:4700:3110::878e:ab9e],2096,TRUE,LAX,North America,Los Angeles,258 ms,13363 kB/s
[2606:4700:304f::8b:e83b],2096,TRUE,LAX,North America,Los Angeles,192 ms,13360 kB/s
[2400:cb00:2049::224a],2087,TRUE,LAX,North America,Los Angeles,184 ms,13345 kB/s
[2606:4700:4400::f877:e0e7],2083,TRUE,LAX,North America,Los Angeles,192 ms,13340 kB/s
[2606:4700:3000::a97f:90df],2087,TRUE,LAX,North America,Los Angeles,194 ms,13320 kB/s
[2803:f800:50::bd:3d0b],2087,TRUE,LAX,North America,Los Angeles,193 ms,13320 kB/s
[2a06:98c1:3100::9fc3],2083,TRUE,LAX,North America,Los Angeles,190 ms,13310 kB/s
[2803:f800:50::b9:3195],2083,TRUE,LAX,North America,Los Angeles,190 ms,13308 kB/s
[2400:cb00:f00e::d282:f906],8443,TRUE,LAX,North America,Los Angeles,201 ms,13295 kB/s
[2606:4700::ebb5],443,TRUE,LAX,North America,Los Angeles,211 ms,13288 kB/s
[2a06:98c1:3100::538:ed84],2087,TRUE,LAX,North America,Los Angeles,199 ms,13257 kB/s
[2a06:98c1:58::b8e8],2096,TRUE,LAX,North America,Los Angeles,194 ms,13236 kB/s
[2606:4700:7000::7cd],2083,TRUE,LAX,North America,Los Angeles,193 ms,13229 kB/s
[2606:4700:4700::d38a:78eb],2096,TRUE,LAX,North America,Los Angeles,191 ms,13224 kB/s
[2400:cb00:f00e::511a:a5f7],2096,TRUE,LAX,North America,Los Angeles,201 ms,13218 kB/s
[2803:f800:50::ce10:7739],2053,TRUE,LAX,North America,Los Angeles,181 ms,13218 kB/s
[2a06:98c1:3100::d23c:9974],2087,TRUE,LAX,North America,Los Angeles,198 ms,13204 kB/s
[2803:f800:50::a567],2083,TRUE,LAX,North America,Los Angeles,194 ms,13187 kB/s
[2606:4700:ff00::b2e9:3834],2083,TRUE,LAX,North America,Los Angeles,192 ms,13184 kB/s
[2606:4700:3052::37fb:f61e],8443,TRUE,LAX,North America,Los Angeles,191 ms,13174 kB/s
[2a06:98c1:58::bf97:32a3],8443,TRUE,LAX,North America,Los Angeles,195 ms,13173 kB/s
[2a06:98c1:3100::d25a:ef24],2087,TRUE,LAX,North America,Los Angeles,190 ms,13169 kB/s
[2606:4700:4700::d878:b54e],8443,TRUE,LAX,North America,Los Angeles,196 ms,13161 kB/s
[2606:4700:7000::9c:632a],2087,TRUE,LAX,North America,Los Angeles,198 ms,13139 kB/s
[2606:4700:3000::84df:cf4a],2053,TRUE,LAX,North America,Los Angeles,198 ms,13130 kB/s
[2606:4700:4700::79:1677],2096,TRUE,LAX,North America,Los Angeles,196 ms,13125 kB/s
[2a06:98c1:58::bf8a:1708],8443,TRUE,LAX,North America,Los Angeles,195 ms,13122 kB/s
[2606:4700:3000::625d],2053,TRUE,LAX,North America,Los Angeles,191 ms,13118 kB/s
[2606:4700:3052::182d:b42f],2087,TRUE,LAX,North America,Los Angeles,199 ms,13116 kB/s
[2606:4700:4700::4a85],2053,TRUE,LAX,North America,Los Angeles,204 ms,13111 kB/s
[2400:cb00:2049::31e3:9b27],2053,TRUE,LAX,North America,Los Angeles,200 ms,13098 kB/s
[2606:4700::638d:ccdd],2096,TRUE,LAX,North America,Los Angeles,196 ms,13097 kB/s
[2606:4700:3108::e018:6656],2096,TRUE,LAX,North America,Los Angeles,196 ms,13073 kB/s
[2606:4700:4700::f71a:d0fc],2083,TRUE,LAX,North America,Los Angeles,203 ms,13056 kB/s
[2606:4700:3108::6ae7],2083,TRUE,LAX,North America,Los Angeles,190 ms,13044 kB/s
[2606:4700:3110::67e8],8443,TRUE,LAX,North America,Los Angeles,275 ms,13036 kB/s
[2606:4700:304f::80:7e5f],8443,TRUE,LAX,North America,Los Angeles,208 ms,13003 kB/s
[2606:4700::f2:4305],2087,TRUE,LAX,North America,Los Angeles,202 ms,13000 kB/s
[2606:4700:7000::e744],2087,TRUE,LAX,North America,Los Angeles,201 ms,12974 kB/s
[2606:4700:4400::e73f:151d],2053,TRUE,LAX,North America,Los Angeles,203 ms,12955 kB/s
[2803:f800:50::e55b:29bd],8443,TRUE,LAX,North America,Los Angeles,194 ms,12950 kB/s
[2a06:98c1:50::b74f],2096,TRUE,LAX,North America,Los Angeles,188 ms,12938 kB/s
[2606:4700:3110::80a1:90ba],2053,TRUE,LAX,North America,Los Angeles,196 ms,12935 kB/s
[2a06:98c1:3100::5c:b6c4],2087,TRUE,LAX,North America,Los Angeles,189 ms,12915 kB/s
[2606:4700:4700::7b73],2083,TRUE,LAX,North America,Los Angeles,198 ms,12903 kB/s
[2803:f800:50::4d45],2087,TRUE,LAX,North America,Los Angeles,200 ms,12897 kB/s
[2606:4700:3052::a7:54ef],2053,TRUE,LAX,North America,Los Angeles,208 ms,12865 kB/s
[2a06:98c1:3100::34:300d],2053,TRUE,LAX,North America,Los Angeles,199 ms,12852 kB/s
[2606:4700:4400::96:f294],2096,TRUE,LAX,North America,Los Angeles,204 ms,12838 kB/s
[2606:4700:ff00::97:d2ba],2053,TRUE,LAX,North America,Los Angeles,183 ms,12838 kB/s
[2606:4700:4400::c371],2096,TRUE,LAX,North America,Los Angeles,208 ms,12835 kB/s
[2a06:98c1:58::bfbb:104],8443,TRUE,LAX,North America,Los Angeles,199 ms,12824 kB/s
[2606:4700:ff00::af8d:f3e9],2087,TRUE,LAX,North America,Los Angeles,203 ms,12808 kB/s
[2606:4700:3108::16f4:cc8b],2053,TRUE,LAX,North America,Los Angeles,184 ms,12787 kB/s
[2606:4700:3052::90:afca],2053,TRUE,LAX,North America,Los Angeles,208 ms,12726 kB/s
[2a06:98c1:58::d949:16c4],2087,TRUE,LAX,North America,Los Angeles,197 ms,12703 kB/s
[2803:f800:50::d49d],2053,TRUE,LAX,North America,Los Angeles,215 ms,12695 kB/s
[2606:4700:304f::afa6],2087,TRUE,LAX,North America,Los Angeles,187 ms,12677 kB/s
[2400:cb00:2049::c59f:abf4],2053,TRUE,LAX,North America,Los Angeles,200 ms,12664 kB/s
[2606:4700:ff00::3ee0],2096,TRUE,LAX,North America,Los Angeles,195 ms,12662 kB/s
[2606:4700:3000::5c:23d1],2096,TRUE,LAX,North America,Los Angeles,183 ms,12629 kB/s
[2606:4700:4400::72:18be],2083,TRUE,LAX,North America,Los Angeles,207 ms,12592 kB/s
[2a06:98c1:50::cb9d:4f2c],2096,TRUE,LAX,North America,Los Angeles,205 ms,12589 kB/s
[2606:4700:310c::3183],443,TRUE,LAX,North America,Los Angeles,187 ms,12551 kB/s
[2620:127:f00e::c49e:600b],2083,TRUE,LAX,North America,Los Angeles,203 ms,12546 kB/s
[2606:4700:4700::44:99cd],2087,TRUE,LAX,North America,Los Angeles,196 ms,12481 kB/s
[2606:4700:4400::6e:3fb9],2053,TRUE,LAX,North America,Los Angeles,200 ms,12477 kB/s
[2606:4700:3056::4461],443,TRUE,LAX,North America,Los Angeles,199 ms,12467 kB/s
[2606:4700::6163:b5ef],2053,TRUE,LAX,North America,Los Angeles,195 ms,12463 kB/s
[2606:4700:3108::8b:272],8443,TRUE,LAX,North America,Los Angeles,207 ms,12446 kB/s
[2606:4700:4700::c063:9374],2053,TRUE,LAX,North America,Los Angeles,182 ms,12436 kB/s
[2606:4700:3110::8b:4dd8],2096,TRUE,LAX,North America,Los Angeles,204 ms,12417 kB/s
[2620:127:f00e::88:6ff3],2053,TRUE,LAX,North America,Los Angeles,209 ms,12353 kB/s
[2a06:98c1:3120::9613:5e42],2083,TRUE,LAS,North America,Las Vegas,180 ms,12351 kB/s
[2606:4700:4400::e745:9aa9],2053,TRUE,LAX,North America,Los Angeles,209 ms,12333 kB/s
[2620:127:f00e::ef:7027],8443,TRUE,LAX,North America,Los Angeles,192 ms,12331 kB/s
[2a06:98c1:3120::96e6:722],2083,TRUE,LAS,North America,Las Vegas,172 ms,12324 kB/s
[2606:4700:310c::8c:b801],2087,TRUE,LAX,North America,Los Angeles,204 ms,12310 kB/s
[2a06:98c1:3100::a65c:e19f],2087,TRUE,LAX,North America,Los Angeles,189 ms,12258 kB/s
[2a06:98c1:50::a084],2053,TRUE,LAX,North America,Los Angeles,191 ms,12224 kB/s
[2606:4700:ff00::da7e:815f],8443,TRUE,LAX,North America,Los Angeles,178 ms,12194 kB/s
[2606:4700:7000::1c61:ab14],2083,TRUE,LAX,North America,Los Angeles,193 ms,12192 kB/s
[2a06:98c1:50::80c4],2087,TRUE,LAX,North America,Los Angeles,199 ms,12161 kB/s
[2606:4700:4400::68d2:1d2b],8443,TRUE,LAX,North America,Los Angeles,206 ms,12000 kB/s
