IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.119.11,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,10624 kB/s
192.9.159.65,443,TRUE,SJC,North America,San Jose,176 ms,10574 kB/s
8.222.137.192,2053,TRUE,SIN,Asia Pacific,Singapore,72 ms,10570 kB/s
47.243.26.83,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,10521 kB/s
8.222.156.242,2087,TRUE,SIN,Asia Pacific,Singapore,72 ms,10452 kB/s
152.67.232.185,8443,TRUE,SJC,North America,San Jose,168 ms,10415 kB/s
152.70.117.136,443,TRUE,SJC,North America,San Jose,172 ms,10296 kB/s
8.210.107.246,2096,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,10275 kB/s
8.219.0.162,2096,TRUE,SIN,Asia Pacific,Singapore,68 ms,10247 kB/s
8.210.34.188,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,10075 kB/s
8.210.174.156,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,9997 kB/s
192.9.246.112,8443,TRUE,SJC,North America,San Jose,175 ms,9890 kB/s
8.210.207.214,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,9871 kB/s
8.218.173.78,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,9852 kB/s
8.217.164.10,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,9704 kB/s
47.243.5.154,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,9640 kB/s
8.210.146.108,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,9634 kB/s
8.218.204.128,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,9625 kB/s
152.69.234.88,443,TRUE,SIN,Asia Pacific,Singapore,104 ms,9550 kB/s
8.217.72.0,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,9412 kB/s
8.217.127.73,2083,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,9376 kB/s
8.210.3.24,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,9329 kB/s
8.219.210.64,2053,TRUE,SIN,Asia Pacific,Singapore,70 ms,9314 kB/s
8.217.127.73,2087,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,9237 kB/s
8.210.146.108,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,9198 kB/s
47.243.169.63,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,9151 kB/s
158.101.11.22,8443,TRUE,LAX,North America,Los Angeles,187 ms,9131 kB/s
8.222.183.242,2083,TRUE,SIN,Asia Pacific,Singapore,71 ms,9120 kB/s
8.222.156.242,2096,TRUE,SIN,Asia Pacific,Singapore,74 ms,9007 kB/s
129.146.242.24,2053,TRUE,LAX,North America,Los Angeles,213 ms,8941 kB/s
8.219.104.37,2096,TRUE,SIN,Asia Pacific,Singapore,70 ms,8886 kB/s
8.219.210.57,2096,TRUE,SIN,Asia Pacific,Singapore,69 ms,8756 kB/s
192.9.250.241,443,TRUE,SJC,North America,San Jose,207 ms,8595 kB/s
8.219.177.205,2096,TRUE,SIN,Asia Pacific,Singapore,65 ms,8595 kB/s
